Authors,Title,Year,Source title,Page count,Cited by,Abstract,Affiliations,Author Keywords,Index Keywords,Article Type,Document Type,Topic Domain,Level of IS Phenomenon,Geography,Ethics Paper Type,Ethics Theory Applied,Research Method,Contribution Type,Industry Setting,Mentions Metaethics,Mentions EvoBiology,Mentions TheologyGod,Mentions LegalProfessionalDuty,"
Metaethical Position",Explicitness
Newell S.; Marabelli M.,Strategic opportunities (and challenges) of algorithmic decision-making: A call for action on the long-term societal effects of 'datification',2015,Journal of Strategic Information Systems,11,401,"Abstract Today, digital data are captured through a variety of devices that have the ability to monitor the minutiae of an individual's everyday life. These data are often processed by algorithms, which support (or drive) decisions (termed 'algorithmic decision-making' in this article). While the strategic value of these data (and subsequent analysis) for businesses is unquestionable, the implications for individuals and wider society are less clear. Therefore, in this Viewpoint article we aim to shed light on the tension between businesses - that increasingly profile customers and personalize products and services - and individuals, who, as McAfee and Brynjolfsson (2012, p. 5) suggest, are 'walking data generators' but are often unaware of how the data they produce are being used, and by whom and with what consequences. Issues associated with privacy, control and dependence arise, suggesting that social and ethical concerns related to the way business is strategically exploiting digitized technologies that increasingly support our everyday activities should be brought to the fore and thoughtfully discussed. In this article we aim to lay a foundation for this discussion in the IS community and beyond. © 2015 Elsevier B.V.","School of Business, Management and Economics, University of Sussex, Brighton, BN1 9RH, United Kingdom; IPM Department, Bentley University, Waltham, 02452, MA, United States",Algorithmic decision-making; Digital traces; Sensors; Social and ethical issues; Strategic,Abstracting; Digital devices; Digital storage; Philosophical aspects; Sensors; Digital datas; Digital traces; Ethical concerns; Ethical issues; Products and services; Strategic; Strategic opportunity; Strategic values; Decision making,Viewpoint,Article,Data ethics,Social,Global,Normative,Deontology; consequentialism,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,1,Anti-realism; Non-cognitivism; Naturalism,Implicit
Chatterjee S.; Moody G.; Lowry P.B.; Chakraborty S.; Hardin A.,Strategic Relevance of Organizational Virtues Enabled by Information Technology in Organizational Innovation,2015,Journal of Management Information Systems,38,103,"The central theme of this paper is that information technology (IT) can serve to create ethical organizations endowed with virtuous characteristics, and that such ethical organizations can innovate better in todays dynamic market environment. Drawing on the notion of virtue ethics propounded by the Greek philosopher Aristotle, we theorize that core organizational IT affordances influence the development of organizational virtues, which in turn influence organizational improvisational capabilities and innovation. We propose the ""IT-virtues-innovation"" (IVI) model and test it using a cross-organizational survey of 250 employees from various organizations in the United States. Our findings largely support our proposal that IT affordances positively influence organizational virtues, which then influence organizational improvisational capabilities, thus improving organizational innovation. This paper contributes to the understanding of organizational innovation by articulating the strategic usefulness of IT-enabled organizational ethics, and it explains how IT-enabled ethical competence (virtues) influences strategic competence (improvisational capabilities and innovation). Copyright © Taylor & Francis Group, LLC.","University of Nevada, Las Vegas, United States; Department of Information Systems, City University of Hong Kong, Hong Kong; Towson University, United States; Lee Business School, University of Nevada, Las Vegas, United States",ethical organizations; information technology affordances; information technology strategy; organizational capabilities; organizational courage; organizational innovation; organizational justice; organizational memory affordance; organizational temperance; organizational virtues; organizational wisdom; process management affordance; virtue ethics,Philosophical aspects; Societies and institutions; Affordances; Information technology strategy; Organizational capabilities; organizational courage; Organizational innovation; organizational justice; organizational temperance; organizational virtues; organizational wisdom; Virtue ethics; Innovation,Research article,Article,IS innovation,Organization,USA,Empirical descriptive,Virtue ethics (Aristotle),Survey; SEM,Theoretical; empirical,Cross sectoral,0,0,0,0,Realism; Cognitivism,Implicit
Chatterjee S.; Sarker S.; Valacich J.S.,The behavioral roots of information systems security: Exploring key factors related to unethical IT use,2015,Journal of Management Information Systems,38,126,"Unethical information technology (IT) use, related to activities such as hacking, software piracy, phishing, and spoofing, has become a major security concern for individuals, organizations, and society in terms of the threat to information systems (IS) security. While there is a growing body of work on this phenomenon, we notice several gaps, limitations, and inconsistencies in the literature. In order to further understand this complex phenomenon and reconcile past findings, we conduct an exploratory study to uncover the nomological network of key constructs salient to this phenomenon, and the nature of their interrelationships. Using a scenario-based study of young adult participants, and both linear and nonlinear analyses, we uncover key nuances of this phenomenon of unethical IT use. We find that unethical IT use is a complex phenomenon, often characterized by nonlinear and idiosyncratic relationships between the constructs that capture it. Overall, ethical beliefs held by the individuals, along with economic, social, and technological considerations are found to be relevant to this phenomenon. In terms of practical implications, these results suggest that multiple interventions at various levels may be required to combat this growing threat to IS security. Copyright © Taylor & Francis Group, LLC.","University of Nevada, Las Vegas, United States; McIntire School of Commerce, University of Virginia, United States; Eller College of Management, University of Arizona, United States",Ethics; Information ethics; Information systems security; Nonlinear analysis; Unethical IT use,Complex networks; Computer crime; Nonlinear analysis; Personal computing; Philosophical aspects; Ethics; Exploratory studies; Information ethics; Information systems security; Multiple interventions; Nomological networks; Scenario-based studies; Unethical IT use; Information systems,Research article,Article,IS ethics,Individual,USA,Empirical descriptive,Deontology; consequentialism,Survey; scenario; PLS,Theoretical; empirical,Cross sectoral,0,0,0,0,Cognitivism,Implicit
Ransbotham S.; Fichman R.G.; Gopal R.; Gupta A.,Special section introduction: Ubiquitous IT and digital vulnerabilities,2016,Information Systems Research,13,116,"While information technology benefits society in numerous ways, it unfortunately also has potential to create new vulnerabilities. This special issue intends to stimulate thought and research into understanding and mitigating these vulnerabilities. We identify four mechanisms by which ubiquitous computing makes various entities (people, devices, organizations, societies, etc.) more vulnerable, including: increased visibility, enhanced cloaking, increased interconnectedness, and decreased costs. We use the papers in the special issue to explain these mechanisms, and then outline a research agenda for future work on digital vulnerabilities spanning four areas that are, or could become, significant societal problems with implications at multiple levels of analysis: Online harassment and incivility, technology-driven economic inequality, industrial Internet of Things, and algorithmic ethics and bias. © 2016 INFORMS.","Information Systems, Carroll School of Management, Boston College, Chestnut Hill, 02467, MA, United States; Department of Operations and Information Management, University of Connecticut, Storrs, 06269, CT, United States; Carlson School of Management, University of Minnesota, Minneapolis, 55455, MN, United States",Algorithmic bias; Algorithmic ethics; Artificial intelligence; Economic inequality; Internet of things; Online harassment,Artificial intelligence; Industrial research; Internet of things; Philosophical aspects; Algorithmic bias; Algorithmic ethics; Economic inequality; Multiple levels; Online harassment; Research agenda; Societal problems; Special sections; Ubiquitous computing,Research article,Article,IS ethics,Social,Global,Normative,None,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,1,Monism; Naturalism,Implicit
Barrett M.; Oborn E.; Orlikowski W.,"Creating value in online communities: The sociomaterial configuring of strategy, platform, and stakeholder engagement",2016,Information Systems Research,19,211,"How is value created in an online community (OC) over time? We explored this question through a longitudinal field study of an OC in the healthcare arena. We found that multiple kinds of value were produced and changed over time as different participants engaged with the OC and its evolving technology in various ways. To explain our findings, we theorize OC value as performed through the ongoing sociomaterial configuring of strategies, digital platforms, and stakeholder engagement. We develop a process perspective to explain these dynamics and identify multiple different kinds of value being created by an OC over time: financial, epistemic, ethical, service, reputational, and platform. Our research points to the importance of expanding the notion of OC users to encompass a broader understanding of stakeholders. It further suggests that creating OC value increasingly requires going beyond a dyadic relationship between the OC and the firm to encompassing a more complex relationship involving a wider ecosystem of stakeholders. © 2016 INFORMS.","Judge Business School, Cambridge University, Cambridge, CB2 1AG, United Kingdom; Warwick Business School, University of Warwick, Coventry, CV4 7AL, United Kingdom; Sloan School of Management, Massachusetts Institute of Technology, Cambridge, 02142, MA, United States",Computer-mediated communication and collaboration; Digital; Health IT; Online communities; Value,Social networking (online); Websites; Computer mediated communication; Digital; Health it; On-line communities; Value; Online systems,Research article,Article,Online communities,Organization; social,UK,Empirical descriptive,None,Interpretive case study,Theoretical,Healthcare,0,0,0,0,Relativism; Anti-realism,Implicit
Deng X.N.; Joshi K.D.; Galliers R.D.,The duality of empowerment and marginalization in microtask crowdsourcing: Giving voice to the less powerful through value sensitive design1,2016,MIS Quarterly: Management Information Systems,23,313,"Crowdsourcing (CS) of micro tasks is a relatively new, open source work form enabled by information and communication technologies. While anecdotal evidence of its benefits abounds, our understanding of the phenomenon's societal consequences remains limited. Drawing on value sensitive design (VSD), we explore microtask CS as perceived by crowd workers, revealing their values as a means of informing the design of CS platforms. Analyzing detailed narratives of 210 crowd workers participating in Amazon's Mechanical Turk (MTurk), we uncover a set of nine values they share: access, autonomy, fairness, transparency, communication, security, accountability, making an impact, and dignity. We find that these values are implicated in four crowdsourcing structures: compensation, governance, technology, and microtask. Two contrasting perceptions-empowerment and marginalization-coexist, forming a duality of microtask CS. The study contributes to the CS and VSD literatures, heightens awareness of worker marginalization in microtask CS, and offers guidelines for improving CS practice. Specifically, we offer recommendations regarding the ethical use of crowd workers (including for academic research), and call for improving MTurk platform design for greater worker empowerment.","College of Business Administration and Public Policy, California State University, Dominguez Hills, 1000 E. Victoria Street, Carson, 90747, CA, United States; Carson College of Business, Washington State University, Todd Hall 442, Pullman, 99164-4743, WA, United States; Information and Process Management/Sociology Departments, Bentley University, 174 Forest Street, Waltham, 02452, MA, United States; School of Business and Economics, Loughborough University, Loughborough, Leicestershire, LE11 3TU, United Kingdom",Amazon's Mechanical Turk; Crowd worker value; Crowdsourcing; Empowerment; Gig economy; ICT ethics; Marginalization; Microsourcing; On-demand workforce; Open source; Societal impacts; Value sensitive design,Crowdsourcing; Design; Philosophical aspects; Amazon's mechanical turks; Crowd worker value; Empowerment; Gig economy; ICT ethics; Marginalization; Microsourcing; On demands; Open sources; Societal impacts; Value sensitive design; Economic and social effects,Research article,Article,Online communities,Social,USA,Empirical descriptive,Value sensitive design,Interpretive field study,Theoretical,Digital platforms,0,0,0,0,Anti-realism; Subjectivism; Pluralism; Relativism,Implicit
Markus M.L.,"Datification, Organizational Strategy, and IS Research: What's the Score?",2017,Journal of Strategic Information Systems,8,88,"This commentary on the JSIS Special Issue on datification focuses on two key themes selected from among the many topics discussed by Special Issue authors: 1) the debate over algorithmic intelligence versus human intelligence, and 2) the consequences of strategic performance systems. The current algorithmic versus human intelligence debate echoes earlier discussions in our field about whether expert systems should replace or support human experts. As appealing as it is to assume that algorithms support expert workers, research suggests that people are not very effective at monitoring and overriding automation. In addition, post-automation work tends to evolve toward lower human knowledge and skill. These observations should caution datification researchers against simplistic theories and should guide researchers to study the multilevel sociotechnical conditions and stakeholders involved in the design, use, and consequences of algorithms in organizations. Strategic performance measurement and ranking systems are also not new, but what is new is the belief that they will not just inform, but also transform, human behavior. In this respect, performance systems resemble the career tournaments that promote intense competition and create great inequality in executive pay and promotion. In addition, performance systems increasing serve as infrastructures, operating at multiple levels of analysis simultaneously. These observations imply that designing and studying such systems involve ethical choices, intensifying the demands on datification researchers. © 2017","Bentley University, United States",,Economic and social effects; Expert systems; Human behaviors; Human intelligence; Human knowledge; Multiple levels; Organizational strategy; Performance measurements; Performance system; Ranking system; Behavioral research,Commentary,Letter,Data ethics,Social; disciplinary,Global,Normative,None,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,1,quasi-Realism,Implicit
Prasopoulou E.,A half-moon on my skin: A memoir on life with an activity tracker,2017,European Journal of Information Systems,10,37,"Experiential computing shifts the focus of IS research on how humans encounter information technologies in everyday life. For this, it invites explorations on the role of the body and its affective propulsions as the locus of human experience. I argue, in this article, that this embodied perspective, studied through the lens of enchanted materialism (Bennett in The enchantment of modern life: attachments, crossings, and ethics. Princeton University Press, Princeton, 2001), needs to be combined with an alternative writing genre to fruitfully explore life in experiential computing. It is for this reason that I present my research as a memoir on the use of wearables - an instantiation of the Internet of Things - in everyday life. The aim is to show that, when studying emerging technologies, an open-ended non-fictional genre like the memoir can produce astute and imaginative insights that may be as informative as traditional academic writing. The memoir produces a thick description of the way people interact with digital devices in experiential computing; their expectations and the subsequent effort to entangle the data in their daily lives. This way, it problematises current organising visions of a data-driven life. I conclude the article with reflections on the contribution that enchanted materialism makes to information systems, as well as the memoir's potential for academic research. © 2017 The Operational Research Society. All rights reserved.","Centre for Business in Society, Coventry University, Priory Street, Coventry, CV1 5FB, United Kingdom",enchanted materialism; experiential computing; human body; Internet of Things; memoir; wearables,Internet of things; Wearable technology; enchanted materialism; experiential computing; Human bodies; memoir; wearables; Digital devices,Ethnography/narrative,Article,IoT,Individual,UK,Normative,Enchanted materialism (Jane Bennett),Auto-ethnographic narrative,Theoretical,Wearables,0,0,0,0,Anti-realism; Non-cognitivism; Non-naturalism,Implicit
Saunders C.; Bygstad B.; Ferran C.; Liang T.-P.; Recker J.; Brown S.A.; Dennis A.R.; Galletta D.; Lowry P.B.; Sarker S.,"Goals, values, and expectations of the ais family of journals",2017,Journal of the Association for Information Systems,14,2,"The Association for Information Systems (AIS) is the premier professional association for individuals and organizations that lead the research, teaching, practice, and study of information systems. It serves society through advancing knowledge and promoting excellence in the practice and study of information systems. To that end, the AIS hosts seven academic journals: Journal of the Association for Information Systems (JAIS), Communications of the Association for Information Systems (CAIS), AIS Transactions on Human-Computer Interactions (THCI), AIS Transactions on Replication Research (TRR), Pacific Asia Journal of the Association for Information Systems (PAJAIS), Revista Latinoamericana y del Caribe de la Asociación de Sistemas de Información (RELCASI), and Scandinavian Journal of Information Systems (SJIS). In this editorial statement, we summarize the different mission statements for each journal; describe their different audiences, goals, and markets; and identify their shared values, requirements, and resources. We do so to assist AIS members to identify the most suitable journal outlet for their research. © 2017 by the Association for Information Systems.","W.A. Franke College of Business, Northern Arizona University, United States; Department of Informatics, University of Oslo, Norway; College of Business, Governors State University, United States; College of Management, National Sun Yat-Sen University, Taiwan; QUT Business School, Queensland University of Technology, Australia; Eller College of Management, University of Arizona, United States; Kelley School of Business, Indiana University, United States; Joseph M. Katz Graduate School of Business, University of Pittsburgh, United States; Faculty of Business and Economics, The University of Hong Kong, Hong Kong; McIntire School of Commerce, University of Virginia, United States",AIS journals; Journal mission; Journal review processes; Journal values; Open science; Publication ethics; Replication,,Editorial,Editorial,IS discipline,Disciplinary,Global,Normative,None,None,Methodological,Research,0,0,0,1,Prescriptivism; Consequentialism,Implicit
Moody G.D.; Galletta D.F.; Dunn B.K.,Which phish get caught An exploratory study of individuals′ susceptibility to phishing,2017,European Journal of Information Systems,20,121,"Phishing, or the practice of sending deceptive electronic communications to acquire private information from victims, results in significant financial losses to individuals and businesses. The first goal of this study is to identify situational and personality factors that explain why certain individuals are susceptible to such attacks. The second goal is to test those empirically, along with previously identified factors, to explain the likelihood that an individual will fall victim to a phishing attack. We employed the Delphi method to identify seven personality factors that may influence this susceptibility (trust, distrust, curiosity, entertainment drive, boredom proneness, lack of focus, and risk propensity). Our regression model included these as well as variables examined in previous studies. We find that emails sent from a known source significantly increase user susceptibility to phishing, as does a user's curiosity, risk propensity, general Internet usage, and Internet anxiety. In post hoc tests, we also find that trust and distrust can be significant predictors of susceptibility and that this significance is dependent on the characteristics of the message. © 2017 The OR Society.","Lee Business School, University of Nevada-Las Vegas, Las Vegas, 89154, NV, United States; Katz Graduate School of Business, University of Pittsburgh, 282 Mervis Hall, Pittsburgh, 15213, PA, United States; Hunstman School of Business, Utah State University, 3500 Old Main Hill, Logan, 84322, UT, United States",deception; ethical phishing experiment; information security; phishing,Losses; Regression analysis; Security of data; deception; Electronic communications; Exploratory studies; Internet anxieties; Phishing; Phishing attacks; Private information; Regression model; Computer crime,Empirical research,Article,IS security,Individual,USA,Empirical descriptive,None,Experiment; survey,Empirical,Phishing,0,0,0,0,Egoism,Implicit
Currie W.L.; Gozman D.P.; Seddon J.J.M.,Dialectic tensions in the financial markets: a longitudinal study of pre- and post-crisis regulatory technology,2018,Journal of Information Technology,21,50,"This article presents the findings from a longitudinal research study on regulatory technology in the UK financial services industry. The financial crisis with serious corporate and mutual fund scandals raised the profile of compliance as governmental bodies, institutional and private investors introduced a ‘tsunami’ of financial regulations. Adopting a multi-level analysis, this study examines how regulatory technology was used by financial firms to meet their compliance obligations, pre- and post-crisis. Empirical data collected over 12 years examine the deployment of an investment management system in eight financial firms. Interviews with public regulatory bodies, financial institutions and technology providers reveal a culture of compliance with increased transparency, surveillance and accountability. Findings show that dialectic tensions arise as the pursuit of transparency, surveillance and accountability in compliance mandates is simultaneously rationalized, facilitated and obscured by regulatory technology. Responding to these challenges, regulatory bodies continue to impose revised compliance mandates on financial firms to force them to adapt their financial technologies in an ever-changing multi-jurisdictional regulatory landscape. © 2017, Association for Information Technology Trust.","Audencia-PRES LUNAM, Audencia School of Management, 8 route de la Jonelière, B.P. 31222, Nantes Cedex 3, 44312, France; University of Sydney, Sydney, Australia; Henley Business School, Reading, United Kingdom",accountability; compliance systems; ethics; financial crisis; financial technology; fintech; regtech; regulatory technology; surveillance,Financial markets; Information management; Investments; Monitoring; Privatization; Space surveillance; Transparency; accountability; ethics; Financial crisis; fintech; regtech; Regulatory compliance,Research article,Article,Fintech,Organization,UK,Empirical descriptive,None,Case study; interviews,Empirical,Finance,0,0,0,1,Subjectivism; Anti-realism,Implicit
Seymour M.; Riemer K.; Kay J.,"Actors, avatars and agents: Potentials and implications of natural face technology for the creation of realistic visual presence",2018,Journal of the Association for Information Systems,28,72,"We are on the cusp of creating realistic, interactive, fully rendered human faces on computers that transcend the “uncanny valley,” widely known for capturing the phenomenon of “eeriness” in faces that are almost, but not fully realistic. Because humans are hardwired to respond to faces in uniquely positive ways, artificial realistic faces hold great promise for advancing human interaction with machines. For example, realistic avatars will enable presentation of human actors in virtual collaboration settings with new levels of realism; artificial natural faces will allow the embodiment of cognitive agents, such as Amazon’s Alexa or Apple’s Siri, putting us on a path to create “artificial human” entities in the near future. In this conceptual paper, we introduce natural face technology (NFT) and its potential for creating realistic visual presence (RVP), a sensation of presence in interaction with a digital actor, as if present with another human. We contribute a forward-looking research agenda to information systems (IS) research, comprising terminology, early conceptual work, concrete ideas for research projects, and a broad range of research questions for engaging with this emerging, transformative technology as it becomes available for application. By doing so, we respond to calls for “blue ocean research” that explores unchartered territory and makes a novel technology accessible to IS early in its application. We outline promising areas of application and foreshadow philosophical, ethical, and conceptual questions for IS research pertaining to the more speculative phenomena of “living with artificial humans.”. © 2018 by the Association for Information Systems.","University of Sydney, Australia",Avatars; Cognitive Agents; Realistic Faces; Uncanny Valley; User Interfaces; Virtual Presence; Virtual Reality,Ethical technology; Virtual reality; Avatar; Avatars and agents; Cognitive agents; Human actor; Human faces; Humaninteraction; Information system research; Realistic face; Uncanny valley; Virtual presence; User interfaces,Research paper,Article,Human-AI interaction,Individual; social,Global,Normative,None,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,0,Anti-realism,Implicit
Davison R.M.,The ethics of extended revisions,2018,Information Systems Journal,2,2,[No abstract available],"City University of Hong Kong, Hong Kong",,,Editorial,Editorial,IS ethics; research ethics,Disciplinary,Global,Normative,None,Conceptual analysis,Methodological,Research,0,0,0,0,Consequentialism,Implicit
Chiasson M.; Davidson E.; Winter J.,Philosophical foundations for informing the future(S) through IS research,2018,European Journal of Information Systems,12,40,"Information systems (IS) scholars have suggested IS researchers have a responsibility to consider how information and communication technologies could, in the future, influence sociotechnical practices and outcomes. However, research focused specifically on “the future” has yet to gain a strong foothold within the scholarly IS field. In this essay, we suggest a philosophical foundation and epistemological basis for futures-oriented research to advance such scholarship in the IS field. We first highlight epistemic assumptions about futures-oriented research drawn from the discourse of futures studies. We then draw on Feenberg’s philosophy of “potentiality and actuality” of technology as a foundation to consider how knowledge generated through IS research about the sociotechnical past and present might inform futures-oriented inquiry. We illustrate these arguments with examples from the emerging arena of “big data” research. © 2018, © Operational Research Society 2018.","Faculty of Management, University of British Columbia, Kelowna, Canada; Department of Information Technology Management, Shidler College of Business, University of Hawaii at Manoa, Honolulu, HI, United States; School of Communications, University of Hawaii at Manoa, Honolulu, HI, United States",Ethics; futures studies; philosophy of technology; potentiality,Information systems; Ethics; futures studies; Information and Communication Technologies; Is researches; Past and present; Philosophy of technology; potentiality; Sociotechnical; Philosophical aspects,Research essay,Article,IS discipline,Disciplinary,Global,Normative,Critical theory of technology (Feenberg),Conceptual analysis,Methodological,Research,0,0,0,0,Realism; non-Naturalism; Cognitivism,Implicit
Hashim M.J.; Kannan K.N.; Wegener D.T.,Central Role of Moral Obligations in Determining Intentions to Engage in Digital Piracy,2018,Journal of Management Information Systems,29,31,"Piracy is a significant source of concern facing software developers, music labels, and movie production companies, to name a few. Digital goods producers and government entities argue that there are victims of piracy, whereas pirates may perceive their actions to be victimless. Regarding implications of our research, we extend the theory of planned behavior (TPB) by theorizing that attitudes, subjective norms, and perceived behavioral control could influence perceptions of moral obligations as a consequence of the desire to rationalize unethical behavior. Unlike prior literature, we manipulate the rationalization of moral obligations due to the victimless view toward piracy and show how moral obligations become important determinants of piracy behavior. Accordingly, our demonstrated malleability of morals may be an important path through which individuals are able to continue past behaviors. We also conduct a second study to identify the effect of implementing an educational message from a fictitious software company to exogenously nudge the pirate and influence the impact of perceived moral obligations on intentions to pirate. Our results show that the introduction of an exogenous educational message is an effective piracy mitigation strategy. ©, Copyright © Taylor & Francis Group, LLC.","Eller College of Management, University of Arizona, United States; Krannert School of Management, Purdue University, United States; Ohio State University, United States",Digital piracy; information ethics; morals; norms; piracy mitigation; software piracy; theory of planned behavior; victimless crime,Knowledge management; Digital piracy; Information ethics; morals; norms; piracy mitigation; Theory of Planned Behavior; Computer crime,Research article,Article,Piracy,Individual,USA,Empirical descriptive,Theory of planned behavior,Experiment; survey; scenarios,Empirical,Digital goods,0,0,0,0,Subjectivism; Anti-realism; Non-cognitivism,Implicit
Ngwenyama O.; Klein S.,"Phronesis, argumentation and puzzle solving in IS research: illustrating an approach to phronetic IS research practice",2018,European Journal of Information Systems,19,19,"The embedding of information systems (IS) infrastructure into everyday social activity is creating intractable value conflicts for society. However, IS research largely focuses on: (1) episteme, explanatory and predictive theories; and (2) techné, theories of action for implementation and management of IS technologies. Consequently, we lack applicable knowledge for deliberating about IS value conflicts. The third type of knowledge, phronesis, which Aristotle proposed to inform ethical application of episteme and techné, has not been given much attention in our discipline. Presently, we are experiencing a critical limitation in our capabilities for generating ethically applicable IS knowledge in the face of increasing value conflicts arising from pervasive digitalisation. In this paper, we introduce phronesis, discuss its philosophical foundations and illustrate an approach to phronetic enquiry into the underlying value conflicts of a failed national IS infrastructure project. Our aim is to strengthen and expand IS research methods for systematic critical enquiry into social-values dilemmas resulting from continued embedding of IS technologies into our social world. © 2018, © Operational Research Society 2018.","Ted Rogers School of Management, Ryerson University, Toronto, Canada; Department of Information Systems, University of Cape Town, Cape Town, South Africa; Department for Information Systems, School of Business and Economics, University of Münster, Münster, Germany",argumentation; digitalisation and ethical dilemmas; eHealth infrastructure; innovation; IS infrastructure; Phronesis; retroduction; value conflicts,Embeddings; argumentation; E-health infrastructures; Ethical dilemma; Phronesis; retroduction; value conflicts; Philosophical aspects,Empirical research,Article,IS implementation,Social,Germany,Normative,Virtue ethics (Aristotle),Conceptual analysis; case study,Methodological,Healthcare,0,0,0,0,Cognitivism; Realism,Implicit
Vial G.,Understanding digital transformation: A review and a research agenda,2019,Journal of Strategic Information Systems,26,3757,"Extant literature has increased our understanding of specific aspects of digital transformation, however we lack a comprehensive portrait of its nature and implications. Through a review of 282 works, we inductively build a framework of digital transformation articulated across eight building blocks. Our framework foregrounds digital transformation as a process where digital technologies create disruptions triggering strategic responses from organizations that seek to alter their value creation paths while managing the structural changes and organizational barriers that affect the positive and negative outcomes of this process. Building on this framework, we elaborate a research agenda that proposes [1] examining the role of dynamic capabilities, and [2] accounting for ethical issues as important avenues for future strategic IS research on digital transformation. © 2019 Elsevier B.V.","Department of Information Technology, HEC Montreal, Canada",Digital innovation; Digital technologies; Digital transformation; IS strategy; Literature review; Organizational transformation,Information systems; Digital innovations; Digital technologies; Digital transformation; IS strategy; Literature reviews; Organizational transformation; Management information systems,Literature review,Review,Digital transformation,Organization; social,Global,Normative,Deontology; consequentialism,Grounded theory,Theoretical,Cross sectoral,0,0,0,1,Naturalism,Implicit
Benjamin V.; Valacich J.S.; Chen H.,"DICE-E: A framework for conducting Darknet identification, collection, evaluation with ethics",2019,MIS Quarterly: Management Information Systems,21,63,"Society's growing dependence on computers and information technologies has been matched by an escalation of the frequency and sophistication of cyber attacks committed by criminals operating from the Darknet. As a result, security researchers have taken an interest in scrutinizing the Darknet and other underground web communities to develop a better understanding of cybercriminals and emerging threats. However, many scholars lack the capability or expertise to operationalize Darknet research and are thus unable to contribute to this increasingly impactful body of literature. This article introduces a framework for guiding such research, called Darknet Identification, Collection, Evaluation, with Ethics (DICE-E). The DICE-E framework provides a focused reference point and detailed guidelines for scholars wishing to become active in the Darknet research stream. Four steps to conducting Darknet forum research are outlined: (1) identification of Darknet data sources, (2) data collection strategies, (3) evaluation of Darknet data, and (4) ethical concerns related to Darknet research. To illustrate how DICE-E can be utilized, an example empirical study is reported. This exemplar illustrates how DICE-E can guide scholars through key decision points when attempting to incorporate the Darknet within their research. © 2019 University of Minnesota. All rights reserved.","W. P. Carey School of Business, Arizona State University, Tempe, 85287, AZ, United States; Eller College of Business, University of Arizona, Tucson, 85721, AZ, United States",Cybercriminal; Cybersecurity; Darknet; Deepnet; Ethics; Research framework,Crime; Network security; Cyber security; Cybercriminal; Darknet; Deepnet; Ethics; Research frameworks; Philosophical aspects,Methods article,Article,Security,Disciplinary,Global,Normative,None,Design science,Methodological,Darknet,0,0,0,1,Consequentialism,Implicit
Sarker S.; Chatterjee S.; Xiao X.; Elbanna A.,The sociotechnical axis of cohesion for the IS discipline: Its historical legacy and its continued relevance,2019,MIS Quarterly: Management Information Systems,24,488,"The sociotechnical perspective is often seen as one of the foundational viewpoints—or an “axis of cohesion”—for the Information Systems (IS) discipline, contributing to both its distinctiveness and its ability to coherently expand its boundaries. However, our review of papers in the two leading IS journals from 2000 to 2016 suggests that IS research has lost sight of the discipline’s sociotechnical character—a character that was widely acknowledged at the discipline’s inception. This is a problem because an axis of cohesion can be fundamental to a discipline’s long-term vitality. In order to address this issue, we offer ways to renew the sociotechnical perspective so that it can continue to serve as a distinctive and coherent foundation for the discipline. Our hope is that the renewed sociotechnical frame for the IS discipline discussed in the paper holds potential to contribute to the enduring strength of our diverse, distinctive, yet unified discipline. It also prompts members of the discipline to think more deeply about what it means to be an IS scholar. © 2019 University of Minnesota. All rights reserved.","McIntire School of Commerce, University of Virginia, Charlottesville, 22903, VA, United States; Lee School of Business, University of Nevada, Las Vegas, Las Vegas, 89154, NV, United States; Department of Digitalization, Copenhagen Business School, Copenhagen, Denmark; Royal Holloway University of London, Egham, Surrey, TW20 0EX, United Kingdom",Ethics; Foundations; Humanistic goals; Instrumental goals; IS discipline; IT artifact; Sociotechnical perspective,Foundations; Ethics; Humanistic goals; Instrumental goals; Is disciplines; IT artifact; Socio-technical perspective; Management information systems,Research commentary,Article,IS discipline,Disciplinary,Global,Normative,Critical theory,Conceptual; content analysis ,Theoretical,Research,0,0,0,0,Constructivism; Realism,Implicit
Teubner T.; Flath C.M.,Privacy in the sharing economy,2019,Journal of the Association for Information Systems,29,116,"Contemporary C2C platforms, such as Airbnb, have exhibited considerable growth in recent years and are projected to continue doing so in the future. These novel consumer-to-consumer marketplaces have started to obliterate the boundaries between private and economic spheres. Marketing personal resources online is inherently associated with the disclosure of personal and sometimes intimate information. This raises unprecedented questions of privacy. Yet, there is so far little research on the role of privacy considerations in the sharing economy literature. Leveraging the theoretical perspective of privacy calculus, we address this gap by investigating how privacy concerns and economic prospects shape a potential provider’s intentions to share via different communication channels. We relate privacy concerns back to the provider’s perceptions of the audience. We evaluate our research model by means of a scenario-based online survey, providing broad support for our reasoning. © 2019, Association for Information Systems. All rights reserved.","TU Berlin, Germany; University of Würzburg, Germany",Airbnb; C2C Platforms; Ethics; Privacy; Sharing Economy; Society; Survey,Calculations; Data privacy; Surveying; Surveys; Airbnb; C2C Platforms; Ethics; Sharing Economy; Society; Commerce,Research paper,Article,Privacy,Individual,Germany,Empirical descriptive,None,Interviews; survey; scenarios,Empirical,Sharing economy,0,0,0,0,Subjectivism; Anti-realism,Implicit
